vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792534225,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Has at least one chronic condition,1.1.1.1.4,51.5
v1792534232,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Perceived health - Very good or excellent,1.1.1.2.4,53.0
v1792534239,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Perceived health - Fair or poor,1.1.1.3.4,13.8
v1792534246,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Perceived mental health - Very good or excellent,1.1.1.4.4,54.0
v1792534253,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Perceived mental health - Fair or poor,1.1.1.5.4,15.3
v1792534260,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Has a regular health care provider,1.1.1.6.4,81.0
v1792534267,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.1.1.7.4,75.0
v1792534274,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Quality of consultation in the past 12 months - Very good or excellent,1.1.1.8.4,70.7
v1792534281,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Quality of consultation in the past 12 months - Fair or poor,1.1.1.9.4,10.3
v1792534288,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Experienced difficulties getting non-urgent primary health care in the past 12 months,1.1.1.10.4,38.6
v1792534295,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Consulted a medical specialist for an initial consultation in the past 12 months,1.1.1.11.4,33.9
v1792534302,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Experienced difficulties getting specialist care in the past 12 months,1.1.1.12.4,29.7
v1792534309,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Very good or excellent,1.1.1.13.4,54.1
v1792534316,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Fair or poor,1.1.1.14.4,21.2
v1792534323,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Experienced discrimination in a health care setting in the past 12 months,1.1.1.15.4,7.7
v1792534330,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Had unmet health care needs in the past 12 months,1.1.1.16.4,22.4
v1792534337,Canada (excluding territories),"",Both genders,"Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.1.1.17.4,13.3
v1792534344,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Has insurance that covers all or part of the cost of prescription medications,1.1.1.18.4,77.5
v1792534351,Canada (excluding territories),"",Both genders,18 to 44 years,Has at least one chronic condition,1.1.2.1.4,35.7
v1792534358,Canada (excluding territories),"",Both genders,18 to 44 years,Perceived health - Very good or excellent,1.1.2.2.4,60.8
v1792534365,Canada (excluding territories),"",Both genders,18 to 44 years,Perceived health - Fair or poor,1.1.2.3.4,9.2
v1792534372,Canada (excluding territories),"",Both genders,18 to 44 years,Perceived mental health - Very good or excellent,1.1.2.4.4,48.4
v1792534379,Canada (excluding territories),"",Both genders,18 to 44 years,Perceived mental health - Fair or poor,1.1.2.5.4,20.5
v1792534386,Canada (excluding territories),"",Both genders,18 to 44 years,Has a regular health care provider,1.1.2.6.4,74.8
v1792534393,Canada (excluding territories),"",Both genders,18 to 44 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.1.2.7.4,69.7
v1792534400,Canada (excluding territories),"",Both genders,18 to 44 years,Quality of consultation in the past 12 months - Very good or excellent,1.1.2.8.4,65.1
v1792534407,Canada (excluding territories),"",Both genders,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,1.1.2.9.4,14.1
v1792534414,Canada (excluding territories),"",Both genders,18 to 44 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,1.1.2.10.4,44.6
v1792534421,Canada (excluding territories),"",Both genders,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,1.1.2.11.4,28.5
v1792534428,Canada (excluding territories),"",Both genders,18 to 44 years,Experienced difficulties getting specialist care in the past 12 months,1.1.2.12.4,31.8
v1792534435,Canada (excluding territories),"",Both genders,18 to 44 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,1.1.2.13.4,44.4
v1792534442,Canada (excluding territories),"",Both genders,18 to 44 years,Level of coordination between health care providers in the past 12 months - Fair or poor,1.1.2.14.4,30.9
v1792534449,Canada (excluding territories),"",Both genders,18 to 44 years,Experienced discrimination in a health care setting in the past 12 months,1.1.2.15.4,10.7
v1792534456,Canada (excluding territories),"",Both genders,18 to 44 years,Had unmet health care needs in the past 12 months,1.1.2.16.4,27.6
v1792534463,Canada (excluding territories),"",Both genders,18 to 44 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.1.2.17.4,18.4
v1792534470,Canada (excluding territories),"",Both genders,18 to 44 years,Has insurance that covers all or part of the cost of prescription medications,1.1.2.18.4,80.2
v1792534477,Canada (excluding territories),"",Both genders,45 to 64 years,Has at least one chronic condition,1.1.3.1.4,54.7
v1792534484,Canada (excluding territories),"",Both genders,45 to 64 years,Perceived health - Very good or excellent,1.1.3.2.4,51.5
v1792534491,Canada (excluding territories),"",Both genders,45 to 64 years,Perceived health - Fair or poor,1.1.3.3.4,14.4
v1792534498,Canada (excluding territories),"",Both genders,45 to 64 years,Perceived mental health - Very good or excellent,1.1.3.4.4,56.8
v1792534505,Canada (excluding territories),"",Both genders,45 to 64 years,Perceived mental health - Fair or poor,1.1.3.5.4,12.0
v1792534512,Canada (excluding territories),"",Both genders,45 to 64 years,Has a regular health care provider,1.1.3.6.4,84.3
v1792534519,Canada (excluding territories),"",Both genders,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.1.3.7.4,77.8
v1792534526,Canada (excluding territories),"",Both genders,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,1.1.3.8.4,72.1
