vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1793295318,Canada (excluding territories),"",Both genders,"Total, 18 years and over","Total, wait time - medical specialist",1.1.1.1.4,100.0
v1793295325,Canada (excluding territories),"",Both genders,"Total, 18 years and over","Wait time, less than 3 months",1.1.1.2.4,64.2
v1793295332,Canada (excluding territories),"",Both genders,"Total, 18 years and over","Wait time, 3 months to less than 6 months",1.1.1.3.4,17.6
v1793295339,Canada (excluding territories),"",Both genders,"Total, 18 years and over","Wait time, 6 months or more",1.1.1.4.4,18.2
v1793295346,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Satisfaction with wait time - Very satisfied or satisfied,1.1.1.5.4,49.4
v1793295353,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Satisfaction with wait time - Dissatisfied or very dissatisfied,1.1.1.6.4,31.0
v1793295360,Canada (excluding territories),"",Both genders,"Total, 18 years and over",Life affected by wait time,1.1.1.7.4,63.6
v1793295367,Canada (excluding territories),"",Both genders,18 to 44 years,"Total, wait time - medical specialist",1.1.2.1.4,100.0
v1793295374,Canada (excluding territories),"",Both genders,18 to 44 years,"Wait time, less than 3 months",1.1.2.2.4,61.9
v1793295381,Canada (excluding territories),"",Both genders,18 to 44 years,"Wait time, 3 months to less than 6 months",1.1.2.3.4,19.2
v1793295388,Canada (excluding territories),"",Both genders,18 to 44 years,"Wait time, 6 months or more",1.1.2.4.4,18.9
v1793295395,Canada (excluding territories),"",Both genders,18 to 44 years,Satisfaction with wait time - Very satisfied or satisfied,1.1.2.5.4,42.7
v1793295402,Canada (excluding territories),"",Both genders,18 to 44 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.1.2.6.4,37.9
v1793295409,Canada (excluding territories),"",Both genders,18 to 44 years,Life affected by wait time,1.1.2.7.4,67.1
v1793295416,Canada (excluding territories),"",Both genders,45 to 64 years,"Total, wait time - medical specialist",1.1.3.1.4,100.0
v1793295423,Canada (excluding territories),"",Both genders,45 to 64 years,"Wait time, less than 3 months",1.1.3.2.4,62.8
v1793295430,Canada (excluding territories),"",Both genders,45 to 64 years,"Wait time, 3 months to less than 6 months",1.1.3.3.4,16.7
v1793295437,Canada (excluding territories),"",Both genders,45 to 64 years,"Wait time, 6 months or more",1.1.3.4.4,20.5
v1793295444,Canada (excluding territories),"",Both genders,45 to 64 years,Satisfaction with wait time - Very satisfied or satisfied,1.1.3.5.4,47.9
v1793295451,Canada (excluding territories),"",Both genders,45 to 64 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.1.3.6.4,31.5
v1793295458,Canada (excluding territories),"",Both genders,45 to 64 years,Life affected by wait time,1.1.3.7.4,66.4
v1793295465,Canada (excluding territories),"",Both genders,65 years and over,"Total, wait time - medical specialist",1.1.4.1.4,100.0
v1793295472,Canada (excluding territories),"",Both genders,65 years and over,"Wait time, less than 3 months",1.1.4.2.4,68.8
v1793295479,Canada (excluding territories),"",Both genders,65 years and over,"Wait time, 3 months to less than 6 months",1.1.4.3.4,16.4
v1793295486,Canada (excluding territories),"",Both genders,65 years and over,"Wait time, 6 months or more",1.1.4.4.4,14.8
v1793295493,Canada (excluding territories),"",Both genders,65 years and over,Satisfaction with wait time - Very satisfied or satisfied,1.1.4.5.4,60.0
v1793295500,Canada (excluding territories),"",Both genders,65 years and over,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.1.4.6.4,21.1
v1793295507,Canada (excluding territories),"",Both genders,65 years and over,Life affected by wait time,1.1.4.7.4,55.9
v1793295514,Canada (excluding territories),"",Men+,"Total, 18 years and over","Total, wait time - medical specialist",1.2.1.1.4,100.0
v1793295521,Canada (excluding territories),"",Men+,"Total, 18 years and over","Wait time, less than 3 months",1.2.1.2.4,66.4
v1793295528,Canada (excluding territories),"",Men+,"Total, 18 years and over","Wait time, 3 months to less than 6 months",1.2.1.3.4,17.9
v1793295535,Canada (excluding territories),"",Men+,"Total, 18 years and over","Wait time, 6 months or more",1.2.1.4.4,15.7
v1793295542,Canada (excluding territories),"",Men+,"Total, 18 years and over",Satisfaction with wait time - Very satisfied or satisfied,1.2.1.5.4,50.0
v1793295549,Canada (excluding territories),"",Men+,"Total, 18 years and over",Satisfaction with wait time - Dissatisfied or very dissatisfied,1.2.1.6.4,31.1
v1793295556,Canada (excluding territories),"",Men+,"Total, 18 years and over",Life affected by wait time,1.2.1.7.4,63.0
v1793295563,Canada (excluding territories),"",Men+,18 to 44 years,"Total, wait time - medical specialist",1.2.2.1.4,100.0
v1793295570,Canada (excluding territories),"",Men+,18 to 44 years,"Wait time, less than 3 months",1.2.2.2.4,61.8
v1793295577,Canada (excluding territories),"",Men+,18 to 44 years,"Wait time, 3 months to less than 6 months",1.2.2.3.4,21.5
v1793295584,Canada (excluding territories),"",Men+,18 to 44 years,"Wait time, 6 months or more",1.2.2.4.4,16.8
v1793295591,Canada (excluding territories),"",Men+,18 to 44 years,Satisfaction with wait time - Very satisfied or satisfied,1.2.2.5.4,39.9
v1793295598,Canada (excluding territories),"",Men+,18 to 44 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.2.2.6.4,41.2
v1793295605,Canada (excluding territories),"",Men+,18 to 44 years,Life affected by wait time,1.2.2.7.4,68.8
v1793295612,Canada (excluding territories),"",Men+,45 to 64 years,"Total, wait time - medical specialist",1.2.3.1.4,100.0
v1793295619,Canada (excluding territories),"",Men+,45 to 64 years,"Wait time, less than 3 months",1.2.3.2.4,67.0
v1793295626,Canada (excluding territories),"",Men+,45 to 64 years,"Wait time, 3 months to less than 6 months",1.2.3.3.4,15.7
v1793295633,Canada (excluding territories),"",Men+,45 to 64 years,"Wait time, 6 months or more",1.2.3.4.4,17.3
v1793295640,Canada (excluding territories),"",Men+,45 to 64 years,Satisfaction with wait time - Very satisfied or satisfied,1.2.3.5.4,50.6
v1793295647,Canada (excluding territories),"",Men+,45 to 64 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.2.3.6.4,29.4
v1793295654,Canada (excluding territories),"",Men+,45 to 64 years,Life affected by wait time,1.2.3.7.4,64.1
v1793295661,Canada (excluding territories),"",Men+,65 years and over,"Total, wait time - medical specialist",1.2.4.1.4,100.0
v1793295668,Canada (excluding territories),"",Men+,65 years and over,"Wait time, less than 3 months",1.2.4.2.4,71.4
v1793295675,Canada (excluding territories),"",Men+,65 years and over,"Wait time, 3 months to less than 6 months",1.2.4.3.4,15.9
v1793295682,Canada (excluding territories),"",Men+,65 years and over,"Wait time, 6 months or more",1.2.4.4.4,12.7
v1793295689,Canada (excluding territories),"",Men+,65 years and over,Satisfaction with wait time - Very satisfied or satisfied,1.2.4.5.4,61.2
v1793295696,Canada (excluding territories),"",Men+,65 years and over,Satisfaction with wait time - Dissatisfied or very dissatisfied,1.2.4.6.4,21.0
v1793295703,Canada (excluding territories),"",Men+,65 years and over,Life affected by wait time,1.2.4.7.4,55.1
v1793295710,Canada (excluding territories),"",Women+,"Total, 18 years and over","Total, wait time - medical specialist",1.3.1.1.4,100.0
v1793295717,Canada (excluding territories),"",Women+,"Total, 18 years and over","Wait time, less than 3 months",1.3.1.2.4,62.2
v1793295724,Canada (excluding territories),"",Women+,"Total, 18 years and over","Wait time, 3 months to less than 6 months",1.3.1.3.4,17.4
v1793295731,Canada (excluding territories),"",Women+,"Total, 18 years and over","Wait time, 6 months or more",1.3.1.4.4,20.4
