"REF_DATE","GEO","DGUID","Gender","Age group","Indicators ","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has at least one chronic condition","Number of persons","Number","223","units","0","v1792534222","1.1.1.1.1","16399400","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has at least one chronic condition","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534223","1.1.1.1.2","16102500","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has at least one chronic condition","High 95% confidence interval, number of persons","Number","223","units","0","v1792534224","1.1.1.1.3","16700800","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has at least one chronic condition","Percentage","Percent","239","units","0","v1792534225","1.1.1.1.4","51.5","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has at least one chronic condition","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534226","1.1.1.1.5","50.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has at least one chronic condition","High 95% confidence interval, percentage","Percent","239","units","0","v1792534227","1.1.1.1.6","52.4","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has at least one chronic condition","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534228","1.1.1.1.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Very good or excellent","Number of persons","Number","223","units","0","v1792534229","1.1.1.2.1","17170200","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Very good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534230","1.1.1.2.2","16843900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Very good or excellent","High 95% confidence interval, number of persons","Number","223","units","0","v1792534231","1.1.1.2.3","17490600","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Very good or excellent","Percentage","Percent","239","units","0","v1792534232","1.1.1.2.4","53.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Very good or excellent","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534233","1.1.1.2.5","52.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Very good or excellent","High 95% confidence interval, percentage","Percent","239","units","0","v1792534234","1.1.1.2.6","54.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Very good or excellent","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534235","1.1.1.2.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Fair or poor","Number of persons","Number","223","units","0","v1792534236","1.1.1.3.1","4460600","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534237","1.1.1.3.2","4255800","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1792534238","1.1.1.3.3","4663600","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Perceived health - Fair or poor","Percentage","Percent","239","units","0","v1792534239","1.1.1.3.4","13.8","","","","1"
