"REF_DATE","GEO","DGUID","Gender","Age group","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Total, wait time - medical specialist","Number of persons","Number","223","units","0","v1793295315","1.1.1.1.1","10772900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Total, wait time - medical specialist","Low 95% confidence interval, number of persons","Number","223","units","0","v1793295316","1.1.1.1.2","10485000","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Total, wait time - medical specialist","High 95% confidence interval, number of persons","Number","223","units","0","v1793295317","1.1.1.1.3","11042400","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Total, wait time - medical specialist","Percentage","Percent","239","units","0","v1793295318","1.1.1.1.4","100.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Total, wait time - medical specialist","Low 95% confidence interval, percentage","Percent","239","units","0","v1793295319","1.1.1.1.5","100.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Total, wait time - medical specialist","High 95% confidence interval, percentage","Percent","239","units","0","v1793295320","1.1.1.1.6","100.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Total, wait time - medical specialist","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1793295321","1.1.1.1.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Wait time, less than 3 months","Number of persons","Number","223","units","0","v1793295322","1.1.1.2.1","6912900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Wait time, less than 3 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1793295323","1.1.1.2.2","6655600","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Wait time, less than 3 months","High 95% confidence interval, number of persons","Number","223","units","0","v1793295324","1.1.1.2.3","7156600","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Wait time, less than 3 months","Percentage","Percent","239","units","0","v1793295325","1.1.1.2.4","64.2","","","","1"
